Date,Inv No.,Bill No.,Bill Date,Party Name,ProjectNo,Item Name,Qty,Unit,Rate,CGST %,SGST %,IGST %,Net Amount,Total(QTY*Rate),Other taxable Charges(If Any),taxable Amt,CGST AMT,SGST AMT,IGST AMT,Total GST AMT,Final Discount,Round Off,Gross Amount
05-03-2024,AR/2324/1010          ,866/23-24                ,29-02-2024,Noopur Trading Co.                                ,Consumable                                                                                          ,Cutting Oil                                       ,5.0,ltr   ,148.0,9,9,,,740.0,,740.0,66.6,66.6,,133.2,,-0.02,873.2
05-03-2024,AR/2324/1010          ,866/23-24                ,29-02-2024,Noopur Trading Co.                                ,Consumable                                                                                          ,Hammer Drill 5mm                                  ,2.0,nos   ,97.0,9,9,,,194.0,,135.8,12.22,12.22,,24.44,-58.2,-0.02,160.24
05-03-2024,AR/2324/1010          ,866/23-24                ,29-02-2024,Noopur Trading Co.                                ,Consumable                                                                                          ,HSS Straight Shank Drill 14.0mm                   ,1.0,nos   ,1975.0,9,9,,,1975.0,,829.5,74.66,74.66,,149.32,-1145.5,-0.02,978.82
05-03-2024,AR/2324/1010          ,866/23-24                ,29-02-2024,Noopur Trading Co.                                ,Consumable                                                                                          ,HSS Straight Shank Drill 4.7mm                    ,30.0,nos   ,188.0,9,9,,,5640.0,,2368.8,213.19,213.19,,426.38,-3271.2,-0.02,2795.18
05-03-2024,AR/2324/1010          ,866/23-24                ,29-02-2024,Noopur Trading Co.                                ,Consumable                                                                                          ,HSS Straight Shank Drill 5.0mm                    ,20.0,nos   ,197.0,9,9,,,3940.0,,1654.8,148.93,148.93,,297.86,-2285.2,-0.02,1952.66
05-03-2024,AR/2324/1010          ,866/23-24                ,29-02-2024,Noopur Trading Co.                                ,Consumable                                                                                          ,HSS Straight Shank Drill 5.2mm                    ,10.0,nos   ,197.0,9,9,,,1970.0,,827.4,74.47,74.47,,148.94,-1142.6,-0.02,976.34
05-03-2024,AR/2324/1010          ,866/23-24                ,29-02-2024,Noopur Trading Co.                                ,Consumable                                                                                          ,HSS Straight Shank Drill 6.2mm                    ,10.0,nos   ,278.0,9,9,,,2780.0,,1167.6,105.08,105.08,,210.16,-1612.4,-0.02,1377.76
05-03-2024,AR/2324/1010          ,866/23-24                ,29-02-2024,Noopur Trading Co.                                ,Consumable                                                                                          ,HSS Taper Shank Drill 15.0 mm                     ,1.0,nos   ,2940.0,9,9,,,2940.0,,1234.8,111.13,111.13,,222.26,-1705.2,-0.02,1457.06
05-03-2024,AR/2324/1010          ,866/23-24                ,29-02-2024,Noopur Trading Co.                                ,Consumable                                                                                          ,HSS Taper Shank Drill 17.0 mm                     ,2.0,nos   ,3242.0,9,9,,,6484.0,,2723.28,245.1,245.1,,490.2,-3760.72,-0.02,3213.48
05-03-2024,AR/2324/1010          ,866/23-24                ,29-02-2024,Noopur Trading Co.                                ,Consumable                                                                                          ,Square File  BAST 250 mm JK                       ,4.0,nos   ,80.0,9,9,,,320.0,,320.0,28.8,28.8,,57.6,,-0.02,377.6
05-03-2024,AR/2324/1010          ,866/23-24                ,29-02-2024,Noopur Trading Co.                                ,Consumable                                                                                          ,Velcro Disc 125 mm Metal 60 Grit                  ,25.0,nos   ,28.0,9,9,,,700.0,,700.0,63.0,63.0,,126.0,,-0.02,826.0
05-03-2024,AR/2324/1010          ,866/23-24                ,29-02-2024,Noopur Trading Co.                                ,Consumable                                                                                          ,Velcro Disc 125 mm Metal 60 Grit                  ,100.0,nos   ,10.0,9,9,,,1000.0,,1000.0,90.0,90.0,,180.0,,-0.02,1180.0
05-03-2024,AR/2324/1011          ,INV23-24/2077            ,2024-03-02 00:00:00,Aastha Traders                                    ,Consumable                                                                                          ,Safety Shoes                                      ,1.0,prs   ,700.0,,,12,2464.0,700.0,,700.0,,,84.0,84.0,,,784.0
05-03-2024,AR/2324/1011          ,INV23-24/2077            ,02-03-2024,Aastha Traders                                    ,Consumable                                                                                          ,Safety Shoes                                      ,2.0,prs   ,750.0,,,12,,1500.0,,1500.0,,,180.0,180.0,,,1680.0
05-03-2024,AR/2324/1012          ,INV23-24/2078            ,2024-03-02 00:00:00,Aastha Traders                                    ,Consumable                                                                                          ,Uniform  (Staff)                                  ,2.0,pair  ,450.0,,,5,9240.0,900.0,,900.0,,,45.0,45.0,,,945.0
05-03-2024,AR/2324/1012          ,INV23-24/2078            ,02-03-2024,Aastha Traders                                    ,Consumable                                                                                          ,Uniform  (Staff)                                  ,4.0,pair  ,850.0,,,5,,3400.0,,3400.0,,,170.0,170.0,,,3570.0
05-03-2024,AR/2324/1012          ,INV23-24/2078            ,02-03-2024,Aastha Traders                                    ,Consumable                                                                                          ,Uniform (Workers)                                 ,6.0,pair  ,750.0,,,5,,4500.0,,4500.0,,,225.0,225.0,,,4725.0
